label,file1_char_count,file1_word_count,file1_sentence_count,file1_avg_sentence_length,file1_english_word_ratio,file1_cyrillic_count,file1_arabic_count,file1_chinese_count,file1_script_diversity,file1_unicode_control_chars,file1_number_count,file1_uppercase_word_count,file1_repetition_score,file1_perplexity_score,file1_ttr_ratio,file2_char_count,file2_word_count,file2_sentence_count,file2_avg_sentence_length,file2_english_word_ratio,file2_cyrillic_count,file2_arabic_count,file2_chinese_count,file2_script_diversity,file2_unicode_control_chars,file2_number_count,file2_uppercase_word_count,file2_repetition_score,file2_perplexity_score,file2_ttr_ratio,diff_char_count,ratio_char_count,diff_word_count,ratio_word_count,diff_sentence_count,ratio_sentence_count,diff_avg_sentence_length,diff_english_word_ratio,diff_cyrillic_count,diff_arabic_count,diff_chinese_count,diff_script_diversity,diff_unicode_control_chars,diff_number_count,diff_uppercase_word_count,diff_repetition_score,diff_perplexity_score,ratio_perplexity_score,diff_ttr_ratio,ratio_ttr_ratio,cosine_sim_word_counts
2,9347,1232,1,1232.0,0.29464285714285715,422,181,66,3,94,0,0,0.05032467532467533,1037.4677021125658,1.0,1050,189,1,189.0,0.7724867724867724,0,0,0,0,0,0,0,0.328042328042328,81.72560428525168,1.0,8297,8.901904753426756,1043,6.518518484029003,0,0.9999990000010001,1043.0,-0.4778439153439153,422,181,66,3,94,0,0,-0.2777176527176527,955.7420978273142,12.694524543335366,0.0,0.9999990000010001,0.6666666666666666
1,1697,259,1,259.0,0.7451737451737451,0,0,0,0,0,0,0,0.3281853281853282,113.67552922343629,1.0,8555,1131,1,1131.0,0.2634836427939876,434,182,68,3,112,0,0,0.034482758620689655,990.00314683363,1.0,-6858,0.19836353007617025,-872,0.22900088397082147,0,0.9999990000010001,-872.0,0.4816901023797575,-434,-182,-68,-3,-112,0,0,0.2937025695646385,-876.3276176101938,0.11482340179643495,0.0,0.9999990000010001,0.4015444015444015
2,1011,137,1,137.0,0.7153284671532847,0,0,0,0,2,0,0,0.029197080291970802,90.33885305498065,1.0,1456,204,1,204.0,0.6862745098039216,0,0,0,0,4,0,0,0.19117647058823528,112.89604180046504,1.0,-445,0.6943681313912307,-67,0.6715686241589773,0,0.9999990000010001,-67.0,0.029053957349363113,0,0,0,0,-2,0,0,-0.16197939029626449,-22.557188745484396,0.8001950361949137,0.0,0.9999990000010001,0.5255474452554745
2,874,145,1,145.0,0.8413793103448276,0,0,0,0,0,0,0,0.46206896551724136,34.524114856961035,1.0,1251,167,1,167.0,0.7245508982035929,0,0,0,0,0,0,0,0.0718562874251497,128.30256820030763,1.0,-377,0.6986410865718296,-22,0.8682634678547098,0,0.9999990000010001,-22.0,0.11682841214123474,0,0,0,0,0,0,0,0.39021267809209165,-93.7784533433466,0.2690835816628234,0.0,0.9999990000010001,0.05517241379310345
2,1295,219,1,219.0,0.817351598173516,0,0,0,0,6,0,0,0.2557077625570776,107.41813072466192,1.0,1332,212,1,212.0,0.7641509433962265,0,0,0,0,0,0,0,0.2688679245283019,94.12794005555163,1.0,-37,0.9722222214923256,7,1.0330188630517978,0,0.9999990000010001,7.0,0.053200654777289524,0,0,0,0,6,0,0,-0.013160161971224271,13.290190669110288,1.1411928224507408,0.0,0.9999990000010001,0.4669811320754717
2,2767,447,1,447.0,0.7449664429530202,0,0,0,0,0,0,0,0.39149888143176736,133.519499411443,1.0,1877,281,1,281.0,0.7259786476868327,0,0,0,0,0,0,0,0.3167259786476868,120.90482207784858,1.0,890,1.4741608942599036,166,1.5907473252998316,0,0.9999990000010001,166.0,0.018987795266187435,0,0,0,0,0,0,0,0.07477290278408055,12.614677333594429,1.1043355923483056,0.0,0.9999990000010001,0.6014234875444839
2,1942,298,1,298.0,0.8355704697986577,0,0,0,0,0,0,0,0.33221476510067116,103.46993360689184,1.0,1993,307,1,307.0,0.8143322475570033,0,0,0,0,0,0,0,0.36482084690553745,104.10818980217987,1.0,-51,0.974410436038931,-9,0.9706840359261106,0,0.9999990000010001,-9.0,0.021238222241654392,0,0,0,0,0,0,0,-0.032606081804866294,-0.6382561952880224,0.993869289338619,0.0,0.9999990000010001,0.7919463087248322
1,2011,298,1,298.0,0.7550335570469798,0,0,0,0,0,0,0,0.26174496644295303,138.46889938523498,1.0,2063,320,1,320.0,0.775,0,0,0,0,0,0,0,0.2875,152.6221593902805,1.0,-52,0.9747939888634057,-22,0.9312499970898438,0,0.9999990000010001,-22.0,-0.01996644295302019,0,0,0,0,0,0,0,-0.025755033557046947,-14.153260005045524,0.9072660158337869,0.0,0.9999990000010001,0.7583892617449665
2,8801,1198,1,1198.0,0.31969949916527546,417,154,52,3,83,0,0,0.06928213689482471,959.0274937945883,1.0,1309,218,1,218.0,0.7798165137614679,0,0,0,0,2,0,0,0.3256880733944954,95.70020502580901,1.0,7492,6.723453012434336,980,5.495412818828382,0,0.9999990000010001,980.0,-0.4601170145961924,417,154,52,3,81,0,0,-0.2564059364996707,863.3272887687792,10.021164359206834,0.0,0.9999990000010001,0.7889908256880734
2,1721,274,1,274.0,0.7737226277372263,0,0,0,0,0,0,0,0.3248175182481752,113.81474462208662,1.0,1735,271,1,271.0,0.7416974169741697,0,0,0,0,0,0,0,0.33948339483394835,115.37805253042514,1.0,-14,0.9919308351631522,3,1.011070106970221,0,0.9999990000010001,3.0,0.032025210763056644,0,0,0,0,0,0,0,-0.014665876585773174,-1.5633079083385155,0.986450552245395,0.0,0.9999990000010001,0.8302583025830258
